job_id	comparison	layer0	probe_pre	probe_mid	probe_post	increment_attention	increment_mlp	branch_attention	branch_mlp	scale_attention	scale_mlp	rounding_attention	rounding_mlp
J07-D01-upstream	minus-native	33	0.37615013122558594	0.3535432815551758	0.3524951934814453	-0.022606849670410156	-0.0010480880737304688	0.00040740486133505893	0.03418416716403683	-0.023016561631250987	-0.0352355716815711	2.3070995058827037e-06	3.316443804024516e-06
J07-D01-upstream	minus-native	34	0.3524951934814453	0.2805032730102539	0.23905181884765625	-0.0719919204711914	-0.041451454162597656	-0.02534314628808143	0.010583875556224864	-0.04664516623604986	-0.05203313470075477	-3.6079470602246033e-06	-2.1950180677521303e-06
J07-D01-upstream	minus-native	35	0.23905181884765625	0.21445846557617188	0.3445701599121094	-0.024593353271484375	0.1301116943359375	-0.008139085381994371	-0.07389897354134911	-0.016457754615138875	0.2040049523846097	3.486725648871314e-06	5.715492676472422e-06
J07-D01-restore-L26-attention	minus-native	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J07-D01-restore-L26-attention	minus-native	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J07-D01-restore-L26-attention	minus-native	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J07-D01-restore-L26-attention	minus-native	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J07-D01-restore-L26-attention	minus-native	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J07-D01-restore-L26-attention	minus-native	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J07-D01-restore-L26-attention	minus-native	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J07-D01-restore-L26-attention	minus-native	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J07-D01-restore-L26-attention	minus-native	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J07-D01-restore-L26-attention	minus-native	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J07-D01-restore-L26-attention	minus-native	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J07-D01-restore-L26-attention	minus-native	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J07-D01-restore-L26-attention	minus-native	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J07-D01-restore-L26-attention	minus-native	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J07-D01-restore-L26-attention	minus-native	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J07-D01-restore-L26-attention	minus-native	15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J07-D01-restore-L26-attention	minus-native	16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J07-D01-restore-L26-attention	minus-native	17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J07-D01-restore-L26-attention	minus-native	18	0.0	-0.00017495453357696533	0.0017224550247192383	-0.00017495453357696533	0.0018974095582962036	-0.00017051779241405995	0.0019441248743210515	-4.977736270599803e-06	-4.7599799502529017e-05	5.409951076944253e-07	8.844834776811084e-07
J07-D01-restore-L26-attention	minus-native	19	0.0017224550247192383	-0.012398719787597656	-0.007322907447814941	-0.014121174812316895	0.005075812339782715	-0.01380709756306997	0.005366287860318196	-0.0003125015940239062	-0.00029095694036126996	-1.5756552230183907e-06	4.814198257818703e-07
J07-D01-restore-L26-attention	minus-native	20	-0.007322907447814941	-0.025911688804626465	-0.004378557205200195	-0.018588781356811523	0.02153313159942627	-0.018365739813235665	0.019479581023936376	-0.0002227453482456232	0.0020544227494957157	-2.9619533026270517e-07	-8.721740058226235e-07
J07-D01-restore-L26-attention	minus-native	21	-0.004378557205200195	-0.08279144763946533	-0.06622838973999023	-0.07841289043426514	0.016563057899475098	-0.07971725884893566	0.012103499991218736	0.00130202995164308	0.004461262140930233	2.3384630274403406e-06	-1.7042326738714308e-06
