request_id	group	label	visible	visible_tokens	mean_head_mass	mean_head_density	mean_head_AV_norm	source_output_norm	local_direction_projection
hpm-Q01-D04	query_focal	查询词形	True	2	0.007923958459742867	0.0039619792298714335	0.18885783879716886	4.165339272894211	0.012787638582251362
hpm-Q01-D04	query_quote_other	引文其他token	False	0					
hpm-Q01-D04	query_rejection	反对段	False	0					
hpm-Q01-D04	query_other	查询其他／边界	True	8	0.012465536080290674	0.0015581920100363343	0.16082041686397036	2.5973172745782076	0.00577320165163816
hpm-Q01-D04	remainder	其余上下文	True	782	0.972338822834124	0.0012434000291996468	3.081260109454165	37.51895388471674	-0.35713956320907836
hpm-Q01-D05	definition_original	原释义子句	True	20	0.0029593171873193245	0.00014796585936596623	0.023706456588099636	0.5447576368997129	-0.0006621600100565507
hpm-Q01-D05	definition_ordinary	普通义子句	True	18	0.001593154629649761	8.850859053609783e-05	0.01122669867824191	0.24847652984202304	-0.0005250139406461756
hpm-Q01-D05	definition_scaffold	释义连接／边界	True	6	0.0021800095801643633	0.0003633349300273939	0.03278647160844276	0.7445869223000867	-0.0009669819580560017
hpm-Q01-D05	query_focal	查询词形	True	2	0.008490658564866848	0.004245329282433424	0.22109118538758982	4.917918657285276	0.010558999627317794
hpm-Q01-D05	query_quote_other	引文其他token	False	0					
hpm-Q01-D05	query_rejection	反对段	False	0					
hpm-Q01-D05	query_other	查询其他／边界	True	8	0.013188330863343827	0.0016485413579179784	0.17819090799171078	2.9129471124886783	0.00651255094493195
hpm-Q01-D05	remainder	其余上下文	True	782	0.9715885344202092	0.001242440581100012	3.06475802337049	37.393155652777686	-0.25623251107558453
hpm-Q01-D06	definition_original	原释义子句	True	20	0.0023143197548122596	0.00011571598774061297	0.02159169409019541	0.48031201565669845	-0.0018575946473239119
hpm-Q01-D06	definition_ordinary	普通义子句	True	18	0.0021743691857447917	0.00012079828809693283	0.01173783910614149	0.22924726702975626	0.0010488440210804772
hpm-Q01-D06	definition_scaffold	释义连接／边界	True	6	0.0016992873704450334	0.0002832145617408389	0.02796224021305567	0.6271936308544267	0.0014129483788854586
hpm-Q01-D06	query_focal	查询词形	True	2	0.008115886724191336	0.004057943362095668	0.2070758533482679	4.5638400022151115	0.011554133281700681
hpm-Q01-D06	query_quote_other	引文其他token	False	0					
hpm-Q01-D06	query_rejection	反对段	False	0					
hpm-Q01-D06	query_other	查询其他／边界	True	8	0.01391247307162968	0.00173905913395371	0.19798809763586062	3.3505333630209635	0.006341373186220512
hpm-Q01-D06	remainder	其余上下文	True	782	0.9717836697614243	0.0012426901147844303	3.0516012961215226	37.27595885519187	-0.1270812729031998
hpm-Q02-D01	definition_original	原释义子句	True	21	0.0036494651373204343	0.00017378405415811591	0.034342231841788334	0.7120456292922703	-0.002956804271337742
hpm-Q02-D01	definition_ordinary	普通义子句	False	0					
hpm-Q02-D01	definition_scaffold	释义连接／边界	False	0					
hpm-Q02-D01	query_focal	查询词形	True	1	0.003681239562632869	0.003681239562632869	0.07966082486528313	1.9401011238287513	0.004680997503742658
hpm-Q02-D01	query_quote_other	引文其他token	False	0					
hpm-Q02-D01	query_rejection	反对段	False	0					
hpm-Q02-D01	query_other	查询其他／边界	True	15	0.01784498170041729	0.0011896654466944858	0.15185276297826167	2.5670131777536676	-0.005275193989382059
hpm-Q02-D01	remainder	其余上下文	True	782	0.9748243214933071	0.001246578416231851	3.078520776619397	37.44764325069589	-0.3295820754572405
hpm-Q02-D02	definition_original	原释义子句	False	0					
hpm-Q02-D02	definition_ordinary	普通义子句	True	21	0.0037972201520025096	0.00018082000723821477	0.034989811002860714	0.7355152567067962	0.003463790291168849
hpm-Q02-D02	definition_scaffold	释义连接／边界	False	0					
hpm-Q02-D02	query_focal	查询词形	True	1	0.0039022555195036626	0.0039022555195036626	0.1027140929303585	2.557991487307481	0.006995665015879344
hpm-Q02-D02	query_quote_other	引文其他token	False	0					
hpm-Q02-D02	query_rejection	反对段	False	0					
hpm-Q02-D02	query_other	查询其他／边界	True	15	0.017931713272762335	0.001195447551517489	0.16105814962314954	2.7302961959060554	-0.007373653152676023
hpm-Q02-D02	remainder	其余上下文	True	782	0.9743688181739402	0.0012459959311687217	3.0376439185657302	36.679504848339256	0.36022060605982265
hpm-Q02-D03	definition_original	原释义子句	True	21	0.0033815790692223995	0.00016102757472487614	0.03102697429610943	0.6435951687740551	-0.0023879987865603695
hpm-Q02-D03	definition_ordinary	普通义子句	True	21	0.002315911388716028	0.0001102814947007632	0.016621350764059527	0.3239268903198425	-0.0010784482082030326
hpm-Q02-D03	definition_scaffold	释义连接／边界	True	1	0.0008967784086779207	0.0008967784086779207	0.00936626727864237	0.19647335690130735	-0.001371545924437495
hpm-Q02-D03	query_focal	查询词形	True	1	0.0036754481340026323	0.0036754481340026323	0.07480926405948884	1.845318061252999	0.008808726746324302
hpm-Q02-D03	query_quote_other	引文其他token	False	0					
hpm-Q02-D03	query_rejection	反对段	False	0					
hpm-Q02-D03	query_other	查询其他／边界	True	15	0.017976861311823914	0.0011984574207882608	0.15516116142352515	2.6584651078618227	-0.005394248875937647
hpm-Q02-D03	remainder	其余上下文	True	782	0.9717534236360833	0.0012426514368747866	3.074081181732369	37.443661551813115	-0.34282174311033153
hpm-Q02-D04	definition_original	原释义子句	True	21	0.002772268048336671	0.00013201276420650817	0.026722663767629162	0.5914626148119962	-0.0033449195749261553
hpm-Q02-D04	definition_ordinary	普通义子句	True	21	0.0027758688058635204	0.00013218422885064382	0.02116922208998935	0.41580004445253477	-0.00014815502680989742
hpm-Q02-D04	definition_scaffold	释义连接／边界	True	1	0.0005442782246001285	0.0005442782246001285	0.003676159010636709	0.07206952102308822	3.435441677066912e-05
