contrast_id,role,cross_query,view,effect,numeric_bound,direction,statistical_interval,ncc_background_cancels,cancellation_residual,terms
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,ab_forward/answer_sum,-1.3729572296142578,0.002685546875,negative,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,ab_forward/answer_mean,-0.6864786148071289,0.002685546875,negative,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,ab_forward/total_with_eos,-1.3729610443115234,0.002685546875,negative,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,ab_forward/mean_with_eos,-0.4576536814371748,0.002685546875,negative,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,ab_reverse/answer_sum,-0.8168411254882812,0.002685546875,negative,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,ab_reverse/answer_mean,-0.4084205627441406,0.002685546875,negative,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,ab_reverse/total_with_eos,-0.8168411254882812,0.002685546875,negative,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,ab_reverse/mean_with_eos,-0.2722803751627598,0.002685546875,negative,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,background,-0.045545271310591495,0.002685546875,negative,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,ncc,0.04080004222530498,0.00537109375,positive,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,single_probe/empty,0.049107615152995,0.00537109375,positive,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,single_probe/space,0.05532862345377598,0.00537109375,positive,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,single_probe/na,0.04548238118489589,0.00537109375,positive,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,single_probe/mask,0.030339813232421964,0.00537109375,positive,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,single_probe/lorem,-0.003343963623046342,0.00537109375,unresolved,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,leave_one_out/empty,0.04000341738938262,0.00537109375,positive,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
