query_id	layer0	pre	mid	post	increment_attention	increment_mlp	branch_attention	branch_mlp	scale_attention	scale_mlp	remainder_attention	remainder_mlp
T03	5	0.06677055358886719	0.1028437614440918	-0.012953758239746094	0.03607320785522461	-0.11579751968383789	0.03939868288874193	-0.097680745768018	-0.0033241022702308887	-0.018118836978438246	-1.3727632864335426e-06	2.063062618351541e-06
T03	6	-0.012953758239746094	-0.003863811492919922	-0.02503681182861328	0.009089946746826172	-0.02117300033569336	0.008638356514388379	-0.019129375758122895	0.0004512602197167051	-0.0020432402387059734	3.3001272108784674e-07	-3.843388644841905e-07
T03	7	-0.02503681182861328	0.0063724517822265625	0.03974103927612305	0.031409263610839844	0.033368587493896484	0.02977043318483319	0.03331135917624506	0.0016396869708441286	5.6813646187399555e-05	-8.565448374742157e-07	4.146714640258873e-07
T03	8	0.03974103927612305	0.04485750198364258	0.051093339920043945	0.005116462707519531	0.006235837936401367	0.005780005726242911	0.00973130070308148	-0.0006619902620056137	-0.0034967626814813024	-1.552756717765856e-06	1.2999148011894057e-06
T03	9	0.051093339920043945	0.0831305980682373	0.06945300102233887	0.03203725814819336	-0.013677597045898438	0.033139073966948596	-0.01181130108184314	-0.001103234069795761	-0.0018629206413556254	1.4182510405247317e-06	-3.375322699672445e-06
T03	10	0.06945300102233887	0.05646157264709473	0.007298469543457031	-0.01299142837524414	-0.049163103103637695	-0.0144654693608115	-0.050680712234974834	0.001471380069818418	0.0015181422004424683	2.6609157489417695e-06	-5.330691053295755e-07
T03	11	0.007298469543457031	-0.03425908088684082	-0.032858192920684814	-0.04155755043029785	0.0014008879661560059	-0.03748038805218229	-0.0043631490471514045	-0.00407544710054123	0.0057642357941850575	-1.7152775743315817e-06	-1.9878087764713115e-07
T03	12	-0.032858192920684814	-0.07357445359230042	-0.03868740797042847	-0.0407162606716156	0.03488704562187195	-0.036795326406715345	0.031574481629920825	-0.00392308997407519	0.0033128645952653557	2.155709174934267e-06	-3.006033142327266e-07
T03	13	-0.03868740797042847	-0.07255393266677856	-0.13646817207336426	-0.0338665246963501	-0.0639142394065857	-0.03529268824444143	-0.06522969025032932	0.0014281725605419966	0.0013141197954287236	-2.009012450666231e-06	1.3310483149026747e-06
T03	14	-0.13646817207336426	-0.07873046398162842	-0.10229289531707764	0.05773770809173584	-0.02356243133544922	0.04797115062745472	-0.024671049502228204	0.00976643499533375	0.0011090448833275118	1.2246894737222291e-07	-4.267165485266622e-07
T03	15	-0.10229289531707764	-0.06248056888580322	0.024916529655456543	0.039812326431274414	0.08739709854125977	0.04027163854948784	0.08572557907407863	-0.0004588553029582613	0.0016703238168843358	-4.5681525516721826e-07	1.1956502968014926e-06
T03	16	0.024916529655456543	0.05034136772155762	0.06460225582122803	0.025424838066101074	0.01426088809967041	0.026262336725510926	0.015957255666465553	-0.0008364028062913852	-0.0016979213689638922	-1.0958531184669315e-06	1.5538021687494519e-06
T03	17	0.06460225582122803	0.05425459146499634	0.06404517590999603	-0.01034766435623169	0.009790584444999695	-0.0038961296810875456	0.00995083359539306	-0.006449857963271896	-0.0001608462552759593	-1.676711872247716e-06	5.971048825936798e-07
T03	18	0.06404517590999603	0.0338282585144043	0.02720177173614502	-0.030216917395591736	-0.006626486778259277	-0.0235131677877205	-0.002594199451206869	-0.00670230411149135	-0.004032841683368427	-1.4454963798843368e-06	5.543563160181897e-07
T03	19	0.02720177173614502	0.06244540214538574	0.10070681571960449	0.03524363040924072	0.03826141357421875	0.04290750457929793	0.022485369907831773	-0.0076648611259576005	0.015773909634979877	9.869559003949924e-07	2.134031407113879e-06
T03	20	0.10070681571960449	-0.021084964275360107	0.17373621463775635	-0.1217917799949646	0.19482117891311646	-0.11732795944091334	0.1997260476380429	-0.0044612979898799865	-0.00490509861508967	-2.5225641712700586e-06	2.298901632391548e-07
T03	21	0.17373621463775635	0.2190951108932495	0.17540597915649414	0.045358896255493164	-0.04368913173675537	0.03705814387004236	-0.015235710817086467	0.008302818997798722	-0.028454431755987386	-2.066612347917385e-06	1.010836318482422e-06
T03	22	0.17540597915649414	0.5895564556121826	0.5483047962188721	0.4141504764556885	-0.04125165939331055	0.4498084646832998	-0.02463526246270109	-0.035659620045250695	-0.016618660673071384	1.6318176393470551e-06	2.2637424619276203e-06
T03	23	0.5483047962188721	0.7174111604690552	2.644035041332245	0.1691063642501831	1.9266238808631897	0.2641587628272002	1.951378301912643	-0.09505100211996576	-0.024752818586158742	-1.3964570513280705e-06	-1.602463294503309e-06
T03	24	2.644035041332245	2.594074010848999	2.8377022743225098	-0.04996103048324585	0.24362826347351074	0.28946278339014675	0.49940441105937017	-0.3394227727463841	-0.25577906123224764	-1.041127008494236e-06	2.9136463882695196e-06
T03	25	2.8377022743225098	2.5303256511688232	1.819387674331665	-0.3073766231536865	-0.7109379768371582	-0.21811200039340395	-0.5024187654995405	-0.08926277488651985	-0.20851780044671478	-1.8478737627350417e-06	-1.4108909029697525e-06
T03	26	1.819387674331665	3.9692392349243164	1.9751510620117188	2.1498515605926514	-1.9940881729125977	2.2245485019095312	-1.5261800020038674	-0.07469917263693548	-0.4679065456748841	2.231320055612329e-06	-1.6252338461975047e-06
T03	27	1.9751510620117188	1.8488645553588867	1.643712043762207	-0.12628650665283203	-0.2051525115966797	-0.0753618554338541	-0.0378597013365857	-0.05092815205837156	-0.16728896914629532	3.5008393936240834e-06	-3.841113798655482e-06
T03	28	1.643712043762207	1.8302125930786133	2.9195194244384766	0.18650054931640625	1.0893068313598633	0.2558360689697503	1.3256677327633737	-0.06933785275617135	-0.23636320418477533	2.333102827298955e-06	2.302781264923448e-06
T03	29	2.9195194244384766	3.943131446838379	4.081637382507324	1.0236120223999023	0.1385059356689453	1.199513675707926	0.46391440459064825	-0.17589902797299473	-0.3254125549457235	-2.6253350290383892e-06	4.086024020577561e-06
T03	30	4.081637382507324	4.791317939758301	4.058694839477539	0.7096805572509766	-0.7326231002807617	0.9255287398213639	-0.11822709677001608	-0.21584367010802347	-0.6143962081833819	-4.512462363825964e-06	2.0467263628365373e-07
T03	31	4.058694839477539	4.1317243576049805	4.726833343505859	0.0730295181274414	0.5951089859008789	0.22544621692421468	0.9910917882320149	-0.15241547012752682	-0.3959865981449824	-1.2286692464558158e-06	3.795813846352303e-06
T03	32	4.726833343505859	4.620977401733398	5.183113098144531	-0.10585594177246094	0.5621356964111328	0.15745712360525665	0.7816270634215821	-0.263308558612051	-0.21949702771491553	-4.506765666600909e-06	5.66070446628153e-06
T03	33	5.183113098144531	4.941781044006348	5.1342926025390625	-0.2413320541381836	0.19251155853271484	0.02541868950882445	0.7079438049319061	-0.2667459227790787	-0.5154341280929888	-4.820867929300476e-06	1.881693797445294e-06
T03	34	5.1342926025390625	4.628532409667969	3.561028480529785	-0.5057601928710938	-1.0675039291381836	0.10016820439999063	-0.12989777646629497	-0.6059288240843492	-0.9376042117824888	4.268132649531964e-07	-1.940889399865142e-06
T03	35	3.561028480529785	3.479379653930664	7.6004180908203125	-0.0816488265991211	4.121038436889648	0.1579732133869548	0.7777272756094176	-0.23962772298454216	3.343309391833344	5.682998466260969e-06	1.7694468859019707e-06
T04	0	0.0	-0.013924002647399902	-0.015450596809387207	-0.013924002647399902	-0.0015265941619873047	-0.013517647031421998	-0.009526672803211539	-0.0004056727660795012	0.007998982479325178	-6.828498984035036e-07	1.0961618990279476e-06
T04	1	-0.015450596809387207	0.017345070838928223	0.03382611274719238	0.03279566764831543	0.01648104190826416	0.0335010407201326	0.019540168774476285	-0.0007043565506962279	-0.003056777340597887	-1.0165211209445246e-06	-2.349525614238346e-06
T04	2	0.03382611274719238	0.08429360389709473	0.08305692672729492	0.050467491149902344	-0.0012366771697998047	0.05209280873675759	0.008968490710219101	-0.0016294967835013344	-0.01020393438287226	4.17919664608829e-06	-1.2334971466474234e-06
T04	3	0.08305692672729492	0.09177255630493164	0.09356689453125	0.008715629577636719	0.0017943382263183594	0.014854856139000727	0.013647018609982853	-0.0061408393820944485	-0.011851736816747116	1.612820730440001e-06	-9.435669173774031e-07
T04	4	0.09356689453125	0.09177112579345703	0.08055257797241211	-0.0017957687377929688	-0.011218547821044922	0.006483891691730026	0.010405246265976387	-0.008280008977237407	-0.02162220014252636	3.4854771441272803e-07	-1.5939444949486514e-06
T04	5	0.08055257797241211	0.0895538330078125	0.027166366577148438	0.00900125503540039	-0.06238746643066406	0.013054489582018436	-0.04677917284601485	-0.0040537729741303985	-0.015607802139588844	5.384275123532234e-07	-4.914450603688003e-07
T04	6	0.027166366577148438	0.032362937927246094	0.007717132568359375	0.005196571350097656	-0.02464580535888672	0.004828378075727002	-0.018491772747115474	0.0003670035636656188	-0.0061534804355403705	1.1897107050351519e-06	-5.521762308779987e-07
T04	7	0.007717132568359375	0.04631519317626953	0.04812479019165039	0.038598060607910156	0.0018095970153808594	0.03878959232355306	0.0013605611614040392	-0.0001914153294816645	0.00044974789343177823	-1.1638616123632595e-07	-7.120394549579802e-07
T04	8	0.04812479019165039	0.06180524826049805	0.07210469245910645	0.013680458068847656	0.010299444198608398	0.013774304861821463	0.01628249934906334	-9.431873512684083e-05	-0.005982695272501254	4.719421530345602e-07	-3.5987795368730424e-07
T04	9	0.07210469245910645	0.07855916023254395	0.059327125549316406	0.0064544677734375	-0.01923203468322754	0.007586709588246032	-0.016381112008705345	-0.0011333164687263517	-0.002850635666387491	1.0746539178194126e-06	-2.870081347028375e-07
T04	10	0.059327125549316406	0.04896998405456543	0.017098665237426758	-0.010357141494750977	-0.03187131881713867	-0.010736517425685266	-0.032008183354486075	0.00037968647740970266	0.00013675125114387399	-3.1054647541342573e-07	1.1328620352912822e-07
T04	11	0.017098665237426758	-0.01884305477142334	0.009788572788238525	-0.0359417200088501	0.028631627559661865	-0.0332807617619475	0.023387674247645984	-0.002661221603314316	0.005244598766139419	2.6335641171580833e-07	-6.454541235378919e-07
