job_id	layer0	pre	mid	post	attention_increment	mlp_increment	attention_branch	mlp_branch	attention_scale	mlp_scale	attention_rounding	mlp_rounding
J05-MSP-upstream	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MSP-upstream	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MSP-upstream	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MSP-upstream	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MSP-upstream	15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MSP-upstream	16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MSP-upstream	17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MSP-upstream	18	0.0	0.00747835636138916	-0.02073085308074951	0.00747835636138916	-0.028209209442138672	0.007219480991446758	-0.0260328706700772	0.0002607711259462603	-0.0021771721060738214	-1.8957560038584953e-06	8.333340123511945e-07
J05-MSP-upstream	19	-0.02073085308074951	0.061559438705444336	0.048371195793151855	0.08229029178619385	-0.01318824291229248	0.0788683331957234	-0.007158008282822981	0.003422607916451048	-0.006033646578917834	-6.493259805950835e-07	3.4119494483342283e-06
J05-MSP-upstream	20	0.048371195793151855	0.06821691989898682	0.08135092258453369	0.01984572410583496	0.013134002685546875	0.02235302976363983	0.014878560673763475	-0.002507403683639775	-0.001742979837593528	9.80258348937113e-08	-1.5781506230716502e-06
J05-MSP-upstream	21	0.08135092258453369	0.25211119651794434	0.21310460567474365	0.17076027393341064	-0.039006590843200684	0.17919230174331258	-0.026248143436254923	-0.008433083990953993	-0.012757299163449198	1.0561810520615111e-06	-1.1482434965626176e-06
J05-MSP-upstream	22	0.21310460567474365	0.2751927375793457	0.33158397674560547	0.06208813190460205	0.056391239166259766	0.06133732009064474	0.06071251239426445	0.000751831854266638	-0.004323258011939279	-1.0200403093296728e-06	1.9847839345943363e-06
J05-MSP-upstream	23	0.33158397674560547	0.043933093547821045	0.08346104621887207	-0.2876508831977844	0.039527952671051025	-0.23336406035232082	0.050204821449948867	-0.05428655325706577	-0.010673524417456948	-2.69588397827647e-07	-3.3443614408934508e-06
J05-MSP-upstream	24	0.08346104621887207	-0.029935240745544434	0.35069119930267334	-0.1133962869644165	0.3806264400482178	-0.14756475793647583	0.38511098742813654	0.03416539454038192	-0.004487813862145806	3.076431677406788e-06	3.2664822271488703e-06
J05-MSP-upstream	25	0.35069119930267334	0.45115339756011963	0.4560253620147705	0.10046219825744629	0.004871964454650879	0.11949444713576463	0.07002073576361267	-0.019026391968785306	-0.06515153516150529	-5.856909533030752e-06	2.7638525434969807e-06
J05-MSP-upstream	26	0.4560253620147705	0.7342978715896606	0.5464802533388138	0.27827250957489014	-0.18781761825084686	0.3085561705433486	-0.10688786478382761	-0.030278971224832585	-0.0809340228822617	-4.6897436258852565e-06	4.269415242452723e-06
