family,task,label,score_mode,metric,cell,cell_label,stratum,n,mean,median,p05,p95,q25,q75,iqr,min,max,status,error_bound,raw_sign,direction,positive_query_count,negative_query_count,unresolved_query_count,positive_query_fraction,negative_query_fraction,unresolved_query_fraction,ci95_low,ci95_high
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,D,D,Lq_no_hit,420,-1.9382469548583436,-1.8500463253122312,-6.1638868495826795,2.1127509853199067,-3.51731725819352,-0.31685787135486954,3.2004593868386504,-11.042067068282522,5.153295960886658,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,D,D,gold_size_0,252,-1.737875983048471,-1.544830738051245,-5.68425483796259,1.8277003785802162,-2.975847009334938,-0.530041524503438,2.4458054848315003,-11.042067068282522,4.259040925279747,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,D,D,gold_size_1,328,-2.8092782588728062,-2.8437335811508917,-7.846318163930293,2.0566827962815983,-4.851452848814914,-0.679131853587895,4.172320995227018,-10.530786214888707,4.46516018042903,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,D,D,gold_size_2plus,63,-2.9255947898750643,-3.421981903621429,-7.730838596725635,1.956620145247424,-4.856922738334669,-0.6266729670392093,4.23024977129546,-9.311643848254468,5.444170344548385,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,D,D,gold_size_2_appendix,56,-2.8043734557002438,-3.283330621664995,-7.765798957806408,2.3015508266363938,-4.729745592314124,-0.4418110905028406,4.287934501811284,-9.311643848254468,5.444170344548385,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,D,D,gold_size_3_appendix,7,-3.895365463273626,-3.6439272743495668,-6.15771493803336,-0.9918430058596281,-5.635531284706179,-2.8537784908920374,2.7817527938141415,-6.207625013925335,-0.43738640344404733,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,LD,Lnew+D,all,643,-2.3484175685161186,-2.0500814266074485,-8.727877310281999,3.2887057944848,-4.669339532947561,-0.07764526972324104,4.591694263224319,-11.97749094627617,10.319655266835067,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,LD,Lnew+D,Lq_hit,223,-4.0287810452262285,-4.541276264167983,-10.61300254638248,4.307425832673244,-7.296238289885816,-0.964453129416369,6.331785160469447,-11.97749094627617,10.319655266835067,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,LD,Lnew+D,Lq_no_hit,420,-1.456224579691465,-1.2920803791108053,-5.946759793397283,3.092460399787567,-3.386096790009575,0.30441012575512194,3.690506915764697,-10.464075886002792,5.3328884718416685,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,LD,Lnew+D,gold_size_0,252,-1.2082742194273883,-1.0890337717934326,-5.569014707261458,3.666977534877985,-2.791699614710703,0.23835617496238315,3.0300557896730864,-11.131145477105957,6.329594713083315,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,LD,Lnew+D,gold_size_1,328,-3.143354398546458,-3.113620129778082,-10.035457519907778,3.115966517522383,-5.674818074571907,-0.43143714394552846,5.243380930626379,-11.97749094627617,10.319655266835067,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,LD,Lnew+D,gold_size_2plus,63,-2.7702722307448315,-3.7441598849826523,-7.571973085129823,3.25767887245182,-5.3603911608203685,-0.06306631742479962,5.297324843395569,-10.464075886002792,4.897365816878904,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,LD,Lnew+D,gold_size_2_appendix,56,-2.5534470217179868,-3.427491736994395,-6.856953719347102,3.3491572489055987,-5.235220781476217,0.026388171483057055,5.261608952959274,-10.464075886002792,4.897365816878904,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,LD,Lnew+D,gold_size_3_appendix,7,-4.504873902959584,-5.681108874075798,-9.428908832259518,1.0776793413232084,-6.954969939251278,-1.9672011520582036,4.987768787193074,-10.192998879943941,2.184332615921615,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,LxD,Lnew x D,all,643,1.8017999848978434,1.5355652794868777,-2.21611755111567,6.569896716568414,0.03014963002310722,3.1551200637143957,3.1249704336912885,-5.472391940270658,9.832612578721434,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,LxD,Lnew x D,Lq_hit,223,2.673725280207371,2.3278125610718927,-1.4045018873624602,7.823552295635992,0.3485747551542424,4.959170670945729,4.610595915791486,-3.9918403325616443,9.832612578721434,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,LxD,Lnew x D,Lq_no_hit,420,1.3388491733406418,1.3955205771080468,-2.4829392682716773,5.422522547331578,-0.08806329504934707,2.7005954050593903,2.7886587001087375,-5.472391940270658,8.940837455832202,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,LxD,Lnew x D,gold_size_0,252,1.3732935076377804,1.4115324056088787,-2.493878366743581,5.297821104515204,-0.11408875045569122,2.7129914034671287,2.82708015392282,-4.622210464097632,9.080059443088338,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,LxD,Lnew x D,gold_size_1,328,2.1351277477145416,1.739536263878771,-2.014510689700596,7.479260469300873,0.13138212734356458,3.9435924880276874,3.812210360684123,-5.472391940270658,9.832612578721434,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,LxD,Lnew x D,gold_size_2plus,63,1.7804051605432254,1.8404184818166507,-1.9272495931392974,5.82974557859929,-0.08832243851835186,3.133342412342473,3.221664850860825,-5.173748820744236,9.617067462774571,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,LxD,Lnew x D,gold_size_2_appendix,56,1.8102129980680317,2.0991743114295653,-1.7903461896816892,6.010773665433227,-0.20398423859586035,3.1516474820691665,3.355631720665027,-5.173748820744236,9.617067462774571,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,LxD,Lnew x D,gold_size_3_appendix,7,1.5419424603447744,1.405358526635105,-1.1851628744616218,3.838254882119261,1.1817288257818852,2.411013589608559,1.2292847638266737,-2.1903866020362637,4.393140467033693,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,L_given_D,Lnew given D,all,643,0.05236079602606518,0.06678356082722736,-4.32161824993018,4.0404367743249185,-1.1319022592370747,1.2178494554600143,2.349751714697089,-11.440841822614548,12.054392545316807,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,L_given_D,Lnew given D,Lq_hit,223,-0.7568672902481125,-1.2069710271435277,-5.7511902574357885,5.521576726939835,-2.812306225375345,0.9043995174801598,3.716705742855505,-11.440841822614548,12.054392545316807,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,L_given_D,Lnew given D,Lq_no_hit,420,0.4820223751668787,0.2972424224426585,-1.7825875002264175,3.3083758235167564,-0.4724449150665895,1.357251213644827,1.8296961287114164,-4.917506703939784,7.902308852810028,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,L_given_D,Lnew given D,gold_size_0,252,0.5296017636210826,0.2731396669909998,-2.3206790826949537,4.45378833128497,-0.6562407605784063,1.3151260089292287,1.9713667695076351,-7.218917498766065,12.054392545316807,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,L_given_D,Lnew given D,gold_size_1,328,-0.33407613967365113,-0.14706249507696567,-4.899495978757067,3.822826899341882,-1.728233282497425,1.0223267005594905,2.7505599830569154,-11.440841822614548,11.959512684103498,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,L_given_D,Lnew given D,gold_size_2plus,63,0.15532255913023255,0.1412518244837564,-4.304389462883361,4.138477572589757,-1.2771705134709532,1.8466674677209673,3.1238379811919206,-9.755612476499893,8.39195762984695,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,L_given_D,Lnew given D,gold_size_2_appendix,56,0.2509264339822563,0.24510805015748593,-4.187589006495255,3.876605756662705,-1.1593178534086093,1.8440780849342928,3.0033959383429023,-5.5229583797405315,5.2730305145895775,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,L_given_D,Lnew given D,gold_size_3_appendix,7,-0.6095084396859577,-1.034103349046422,-7.440083213467794,6.4496114221573695,-1.8209777798850033,0.8865773388338338,2.707555118718837,-9.755612476499893,8.39195762984695,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,D_given_L,D given Lnew,all,643,-0.5989783796443403,-0.4448966029566117,-4.537552102215719,2.823570503634566,-1.8907924198293875,0.8105175666264233,2.7013099864558106,-8.889843238399889,8.787395953343342,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,D_given_L,D given Lnew,Lq_hit,223,-0.5981884747707443,-0.6054661951090399,-4.088641989789421,2.53166771397853,-1.7387805065683093,0.5815251741768739,2.320305680745183,-6.249914461939881,4.532123000541797,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,D_given_L,D given Lnew,Lq_no_hit,420,-0.599397781517702,-0.3754373366760628,-4.647809631168769,2.9888172188767377,-2.1838542693493346,1.0024194768931838,3.1862737462425184,-8.889843238399889,8.787395953343342,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,D_given_L,D given Lnew,gold_size_0,252,-0.3645824754106906,-0.07159087793963015,-4.380814105998956,3.5552687349605163,-1.7361678973727541,0.9531595626648934,2.6893274600376476,-6.689535536434028,5.073243424396349,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,D_given_L,D given Lnew,gold_size_1,328,-0.6741505111582651,-0.5782830371055931,-4.640950891398843,2.643471215577712,-1.9231762355844775,0.7681374780927746,2.691313713677252,-8.889843238399889,8.787395953343342,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,D_given_L,D given Lnew,gold_size_2plus,63,-1.1451896293318384,-0.9047938151153607,-5.041369394585571,2.724627386551293,-2.739259805450108,0.4205453681749738,3.159805173625082,-7.919484662655577,8.502049305228509,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,D_given_L,D given Lnew,gold_size_2_appendix,56,-0.9941604576322118,-0.9045105603040047,-5.201473472609557,3.0580320365140814,-2.5926958506112365,0.4538443159092215,3.046540166520458,-7.919484662655577,8.502049305228509,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,D_given_L,D given Lnew,gold_size_3_appendix,7,-2.3534230029288516,-2.627773005480311,-4.741097894198334,0.26091121898813563,-3.8947293729148007,-0.8793383022483567,3.015391070666444,-5.047265857379459,0.7492131926841266,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CL_minus_PL,CLnew minus PLnew,all,643,-3.1701510512461857,-2.8422500247634437,-9.206039443849328,1.8825506444112945,-5.7776724264516,-0.7953291428499334,4.982343283601667,-11.647103036201564,7.084289172476662,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CL_minus_PL,CLnew minus PLnew,Lq_hit,223,-5.102704206477799,-6.2146645521275685,-10.061177776029004,4.947462757052851,-8.245566312583701,-3.0220325586077212,5.22353375397598,-11.647103036201564,7.084289172476662,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CL_minus_PL,CLnew minus PLnew,Lq_no_hit,420,-2.1440573521589235,-1.8051403369999595,-6.685328692772799,1.217297878841793,-3.5765101929540912,-0.38260047607774084,3.1939097168763504,-9.859654500213104,6.6303815380124025,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CL_minus_PL,CLnew minus PLnew,gold_size_0,252,-1.5704563623961332,-1.5157566174466957,-6.188861293781837,4.358948981225132,-3.0808173163595303,-0.05389941972907125,3.026917896630459,-9.859654500213104,7.084289172476662,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CL_minus_PL,CLnew minus PLnew,gold_size_1,328,-4.223134599692763,-4.100095663185838,-9.599333547672172,1.1965312344353976,-7.215612806531672,-1.4151537724833374,5.800459034048334,-11.647103036201564,6.6731831161620505,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CL_minus_PL,CLnew minus PLnew,gold_size_2plus,63,-4.0867297448927875,-4.360539750449479,-8.829435093380848,1.2046963975796119,-6.605918780617922,-1.8109574945121885,4.794961286105734,-10.485864706291212,5.727790762287327,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CL_minus_PL,CLnew minus PLnew,gold_size_2_appendix,56,-4.097813872461994,-3.6015828551735645,-8.9508267739652,0.49597391287436166,-6.677647573131915,-1.6991483641235614,4.978499209008353,-10.485864706291212,5.258712915088288,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CL_minus_PL,CLnew minus PLnew,gold_size_3_appendix,7,-3.998056724339134,-5.817546929528782,-6.8703182092434,2.9477173238350307,-6.304816346463977,-4.1396621478270035,2.165154198636974,-7.0076839145505225,5.727790762287327,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CD_minus_PD,CD minus PD,all,643,-2.6727835501713195,-2.652353167100096,-7.581247168904235,1.747524163311667,-4.632165598149592,-0.5246303802075354,4.107535217942056,-11.623821234715981,5.657090119450983,defined,,,,,,,,,,,
